iter	Passed	Remaining
0	48	9676
1	50	4992
2	51	3400
3	53	2625
4	55	2159
5	57	1856
6	59	1628
7	60	1453
8	61	1314
9	63	1209
10	64	1107
11	66	1034
12	67	968
13	68	915
14	70	870
15	72	829
16	74	801
17	77	783
18	79	755
19	81	735
20	83	710
21	84	680
22	85	658
23	86	636
24	88	618
25	89	599
26	91	584
27	92	566
28	93	551
29	94	535
30	95	521
31	96	504
32	96	488
33	98	482
34	99	471
35	101	461
36	102	451
37	104	444
38	104	431
39	106	425
40	107	415
41	108	409
42	109	398
43	110	393
44	112	387
45	113	378
46	114	372
47	115	367
48	117	361
49	117	353
50	118	345
51	118	337
52	120	334
53	122	331
54	123	324
55	124	319
56	126	316
57	126	310
58	127	304
59	128	300
60	130	297
61	131	292
62	132	288
63	133	284
64	135	280
65	136	277
66	137	273
67	138	269
68	139	264
69	141	262
70	143	260
71	144	256
72	145	253
73	147	250
74	147	245
75	149	243
76	150	240
77	152	238
78	154	236
79	156	234
80	159	234
81	160	231
82	162	228
83	163	225
84	164	222
85	166	220
86	167	217
87	168	214
88	169	211
89	170	208
90	171	205
91	172	202
92	173	199
93	174	196
94	174	193
95	176	190
96	176	187
97	177	184
98	178	181
99	179	179
100	180	177
101	182	175
102	182	172
103	184	169
104	185	167
105	186	165
106	187	162
107	187	160
108	189	157
109	190	156
110	191	153
111	192	151
112	193	148
113	194	146
114	195	144
115	197	142
116	197	140
117	199	138
118	199	135
119	200	133
120	201	131
121	202	129
122	202	126
123	204	125
124	204	122
125	206	121
126	207	119
127	209	117
128	210	115
129	211	113
130	212	111
131	212	109
132	214	107
133	214	105
134	215	103
135	216	101
136	217	99
137	217	97
138	218	95
139	219	94
140	220	92
141	220	90
142	221	88
143	222	86
144	223	84
145	224	83
146	225	81
147	225	79
148	227	77
149	228	76
150	228	74
151	230	72
152	230	70
153	232	69
154	232	67
155	233	65
156	233	64
157	234	62
158	235	60
159	236	59
160	236	57
161	237	55
162	237	53
163	238	52
164	239	50
165	239	49
166	240	47
167	241	45
168	242	44
169	242	42
170	243	41
171	243	39
172	244	38
173	244	36
174	245	35
175	246	33
176	246	32
177	246	30
178	247	29
179	248	27
180	248	26
181	248	24
182	249	23
183	249	21
184	250	20
185	251	18
186	251	17
187	252	16
188	252	14
189	253	13
190	253	11
191	254	10
192	254	9
193	255	7
194	256	6
195	256	5
196	257	3
197	257	2
198	258	1
199	258	0
